Country,Year,GDP_Billion,Population_Million,Life_Expectancy,Hospital_Beds_Per_1000
China,2012,7615,1331,79,6
China,2024,3289,226,52,9
USA,2014,94300,994,50,10
Japan,2022,16682,305,57,3
France,2016,94300,632,69,4
China,2014,12314,203,61,4
India,2022,9230,1101,58,6
India,2011,11929,74,74,3
USA,2015,1488,632,88,8
Japan,2017,94300,145,77,5
Brazil,2019,2616,698,51,9
Russia,2014,94300,930,62,6
Japan,2021,11024,632,88,8
Brazil,2014,18802,1253,73,9
Nigeria,2015,1952,282,51,4
USA,2023,7895,387,83,4
China,2015,5762,764,55,8
Brazil,2016,1676,1381,80,3
Japan,2012,309,1143,78,8
Brazil,2014,94300,112,64,2
China,2013,17289,876,63,2
UK,2018,6357,462,79,7
Russia,2018,17766,666,54,7
China,2010,15263,790,80,5
Russia,2011,10550,604,51,2
Russia,2022,822,894,62,6
France,2016,18169,356,66,8
UK,2018,4730,117,61,2
Germany,2018,94300,1133,75,9
UK,2016,16112,269,85,6
Russia,2024,16187,1255,62,2
Russia,2013,4713,603,82,9
France,2015,337,719,66,3
Russia,2021,94300,479,87,4
France,2016,10472,987,64,10
China,2011,19256,359,69,4
China,2015,5839,61,74,6
India,2017,1219,397,86,3
Nigeria,2022,10000000,690,69,3
India,2021,13508,1068,59,8
China,2010,7482,888,75,6
France,2012,1987,1171,62,3
UK,2021,1007,831,77,1
Japan,2021,10339,324,75,3
China,2017,13880,547,87,2
Japan,2024,94300,167,87,9
Russia,2012,5307,927,69,6
Germany,2020,10687,346,53,9
USA,2019,18028,890,63,4
USA,2015,14573,632,85,8
Germany,2018,12912,126,69,9
UK,2022,94300,22,54,7
USA,2014,300,233,71,7
Japan,2012,13108,321,69,3
Nigeria,2013,6642,1047,69,9
USA,2017,13220,632,53,4
Japan,2017,5451,349,88,5
Russia,2010,17862,887,81,6
China,2023,11622,694,69,8
Russia,2023,94300,43,75,3
France,2011,18821,1335,86,4
Russia,2019,506,1300,67,10
China,2011,19279,1195,69,4
Japan,2023,17052,450,56,6
Russia,2019,18735,977,72,2
Japan,2015,12377,1386,55,6
India,2018,94300,1039,77,7
China,2022,7317,418,82,8
Brazil,2023,17368,1279,70,6
Germany,2021,16006,913,78,8
China,2017,17822,479,65,2
Russia,2013,11649,59,68,6
India,2021,94300,632,51,1
Nigeria,2015,16487,510,55,6
Brazil,2014,15445,309,74,2
Japan,2013,94300,632,69,7
Brazil,2022,14576,1366,70,4
Japan,2022,15944,386,69,2
France,2017,701,1348,83,7
USA,2019,8297,250,69,3
Nigeria,2014,11074,1003,76,4
Japan,2010,19106,1035,69,7
India,2022,8508,354,64,8
Nigeria,2012,484,171,51,1
USA,2024,17138,988,69,2
India,2020,9933,668,56,5
China,2016,8090,866,75,1
Nigeria,2015,94300,879,70,9
Brazil,2022,13242,236,52,7
Russia,2011,724,824,87,6
India,2021,7885,904,68,6
Nigeria,2020,18841,546,88,9
France,2019,4076,106,54,1
USA,2011,10000000,959,52,4
Nigeria,2019,16928,42,82,4
Germany,2014,2539,978,75,5
Nigeria,2024,14754,1126,61,3
Russia,2019,94300,1131,89,5
Brazil,2019,7565,1089,63,9
Brazil,2017,17196,606,80,8
Japan,2012,94300,1264,69,8
Germany,2017,94300,1254,69,1
France,2019,94300,136,62,10
Germany,2015,94300,807,75,5
China,2010,6005,466,76,8
UK,2023,15873,1107,53,5
USA,2017,1339,773,67,9
Nigeria,2011,7148,172,55,8
Brazil,2017,12440,150,53,5
Japan,2024,1640,1152,78,2
France,2010,1879,1381,65,4
India,2019,16293,1326,89,8
China,2019,7649,126,81,6
Germany,2024,8599,1269,54,5
Germany,2021,424,661,52,2
Russia,2011,94300,912,79,6
Russia,2024,19251,531,61,9
UK,2015,4627,1348,50,10
Japan,2021,1054,1248,71,10
Nigeria,2023,1661,779,88,6
India,2012,94300,977,68,7
Indai,2021,11769,1262,51,4
UK,2022,19018,1247,69,7
India,2021,5692,632,68,4
India,2023,11756,118,89,10
France,2013,14023,755,62,8
France,2012,94300,236,86,8
China,2020,19006,1018,74,5
UK,2020,18668,1213,51,1
India,2010,7653,1136,69,2
Japan,2013,94300,539,88,9
UK,2014,16798,661,66,3
India,2016,1316,1211,82,10
India,2021,19933,782,80,10
France,2024,17023,353,68,2
China,2022,19090,852,59,7
USA,2014,12438,507,54,7
Japan,2020,10502,1083,70,9
Germany,2021,11127,789,85,5
Nigeria,2014,2853,50,80,7
UK,2014,14140,306,55,1
China,2019,7141,829,65,5
Germany,2022,18102,494,70,8
USA,2013,8051,874,84,10
China,2013,3112,1297,69,3
UK,2010,9290,1372,69,4
Germany,2022,12741,343,53,2
Germany,2020_est,2735,221,55,7
Russia,2014,3801,490,85,5
China,2019,13417,249,57,1
Germany,2021,94300,397,69,2
France,2024,94300,650,69,4
Nigeria,2024,10167,969,51,8
Nigeria,2022,12632,123,84,9
USA,2024,1409,394,82,8
UK,2023,94300,301,64,5
Brazil,2021,94300,522,68,8
India,2011,94300,360,69,9
USA,2021,94300,749,54,5
USA,2020,94300,632,60,4
UK,2020,597,457,58,4
India,2022,2571,632,69,7
Germany,2017,15825,702,53,6
Nigeria,2020,11819,1046,67,2
France,2014,5818,514,75,6
France,2023,94300,1381,74,3
Japan,2022,94300,222,59,2
India,2021,3894,406,56,9
Russia,2011,1788,739,66,10
UK,2022,2418,563,88,9
INDIA,2012,16378,368,69,7
France,2013,18601,783,69,4
Brazil,2015,15435,269,62,5
USA,2010,10250,346,69,6
USA,2015,5914,817,56,5
