Country,Year,GDP_Billion,Population_Million,Life_Expectancy,Hospital_Beds_Per_1000
China,2012,7615.894353177778,1331.4928859097836,79.2797576724562,6.387926357773329
China,2024,3289.169080760243,226.8323832673217,52.323344486727976,8.795585311974417
USA,2014,,994.2208831365032,50.823379771832094,9.72918866945795
Japan,2022,16682.36428784835,305.15136384280385,57.27299868828403,2.650640588680904
France,2016,,-739.4114399688106,,3.6210622617823773
China,2014,12314.687315503113,203.89646630633814,61.685785941408724,4.297256589643226
India,2022,9230.185687497311,1101.394586336289,57.98695128633439,5.628109945722504
India,2011,11929.80846346844,74.56607368079683,74.30179407605753,2.5347171131856236
USA,2015,1488.0215411085344,-1328.9508967821332,88.62528132298237,8.275576133048151
Japan,2017,,145.76423846887357,77.36932106048627,4.961372443656412
Brazil,2019,2616.3570499266207,698.2959050546656,51.375540844608736,9.18388361870904
Russia,2014,,930.905975252035,62.46844304357644,5.680612190600297
Japan,2021,11024.863530996938,-266.9476931804826,88.78338511058234,7.976195410250031
Brazil,2014,18802.079042970945,1253.810017094432,73.9159991524434,9.296868115208051
Nigeria,2015,1952.151540628006,282.4161787626118,51.80909155642152,3.927972976869379
USA,2023,7895.810335851744,387.1751541657153,83.14950036607718,4.210779940242304
China,2015,5762.503291810139,764.3475555899654,55.636968998990504,8.219772826786357
Brazil,2016,1676.1027448594623,1381.772841874719,80.8897907718663,2.7884411338075514
Japan,2012,309.3379190473275,1143.4913855522195,78.27429375390469,7.561064512368886
Brazil,2014,,112.9220659103856,64.33862914177091,2.0428215357261674
China,2013,17289.44783233675,876.3843962903055,63.23592099410597,1.5720251525742128
UK,2018,6357.449969970112,462.0048176171784,79.18424713352256,6.738017242196918
Russia,2018,17766.812303011266,666.3787459751095,54.78376983753207,7.419203085006955
China,2010,15263.543962614569,790.1753046215998,80.83868719818244,5.444160367279517
Russia,2011,10550.110021763483,604.282015518384,51.01676506976381,1.97102284293974
Russia,2022,822.2978765973381,894.6104716566548,62.57423924305307,5.577136220482325
France,2016,18169.816183736642,356.5161985169362,66.41531692142519,7.799960246887438
UK,2018,4730.203676734125,117.00207466202225,61.59005811655072,2.4509915852860398
Germany,2018,,1133.2873275945396,75.33615026041694,8.84314531168946
UK,2016,16112.707122602465,269.33238185158984,85.70235993959912,5.854080177240856
Russia,2024,16187.315072248439,1255.5669068936556,62.72013899887455,1.9904673207490908
Russia,2013,4713.116218330445,603.6798261904963,82.72059063689971,8.74657524930709
France,2015,337.65218451757596,719.9387505828164,66.69644012595116,2.9989702942365724
Russia,2021,,479.28508825104285,87.71638815650077,3.908826388186797
France,2016,10472.054310518648,987.1963528642972,64.54518409517176,9.746038744488645
China,2011,19256.456439853802,359.97739119725617,69.88994023569542,3.707904788350927
China,2015,5839.841788673859,61.272856822800584,74.38257335919587,5.524111209059753
India,2017,1219.2792747497892,397.3185852888899,86.33063543866615,3.1560570160027517
Nigeria,2022,10000000.0,690.3393367858126,,3.178497443603504
India,2021,13508.283838636395,1068.6512653069174,59.50550175969599,7.553947137506736
China,2010,7482.106027841214,888.9051045250754,75.34118843043579,5.821972156672826
France,2012,1987.7374470772843,1171.0704688690407,62.83120259886943,2.678666593598688
